Pit,Species,seed_trt,pit_trt,total_g,g_m2,status,func_group
118,ACHY,seed pellet,pit + biochar,0.0048,0.12,Native seeded species,C3 grass
118,SATR,seed pellet,pit + biochar,0.1045,2.6125,Weedy/non-native species,non-native forb
119,SATR,not seeded,control,0.0142,0.355,Weedy/non-native species,non-native forb
120,ACHY,not seeded,pit,0.0026,0.065,Native seeded species,C3 grass
120,SATR,not seeded,pit,0.1014,2.535,Weedy/non-native species,non-native forb
121,SATR,bare seeds,pit,0.4214,10.535,Weedy/non-native species,non-native forb
121,SPCR,bare seeds,pit,0.0369,0.9225,Native seeded species,C4 grass
122,SATR,seed pellet,pit + biochar,0.1172,2.93,Weedy/non-native species,non-native forb
122,SPCR,seed pellet,pit + biochar,0.0547,1.3675,Native seeded species,C4 grass
123,SATR,not seeded,pit + biochar,0.1975,4.9375,Weedy/non-native species,non-native forb
124,SATR,bare seeds,pit + biochar,0.1952,4.88,Weedy/non-native species,non-native forb
124,SPCR,bare seeds,pit + biochar,0.032,0.8,Native seeded species,C4 grass
125,SATR,not seeded,pit,0.2653,6.6325,Weedy/non-native species,non-native forb
126,ACHY,seed pellet,pit,0.0024,0.06,Native seeded species,C3 grass
126,SATR,seed pellet,pit,0.0897,2.2425,Weedy/non-native species,non-native forb
127,PLJA,seed pellet,pit,0.0243,0.6075,Native seeded species,C4 grass
127,SATR,seed pellet,pit,0.1129,2.8225,Weedy/non-native species,non-native forb
128,SATR,not seeded,pit,0.0629,1.5725,Weedy/non-native species,non-native forb
129,ACHY,bare seeds,pit + biochar,0.0345,0.8625,Native seeded species,C3 grass
129,LAOC,bare seeds,pit + biochar,0.1466,3.665,Weedy/non-native species,non-native forb
129,PLJA,bare seeds,pit + biochar,0.0291,0.7275,Native seeded species,C4 grass
129,SPCR,bare seeds,pit + biochar,0.0126,0.315,Native seeded species,C4 grass
130,ATCA,not seeded,pit,0.0085,0.2125,Weedy/non-native species,shrub
130,SATR,not seeded,pit,0.2102,5.255,Weedy/non-native species,non-native forb
131,ACHY,bare seeds,pit,0.0261,0.6525,Native seeded species,C3 grass
131,PLJA,bare seeds,pit,0.0251,0.6275,Native seeded species,C4 grass
131,SATR,bare seeds,pit,0.2501,6.2525,Weedy/non-native species,non-native forb
132,CLLU,seed pellet,pit,0.0111,0.2775,Native seeded species,forb
132,SATR,seed pellet,pit,0.0377,0.9425,Weedy/non-native species,non-native forb
133,ACHY,seed pellet,pit,0.0078,0.195,Native seeded species,C3 grass
133,PLJA,seed pellet,pit,0.0341,0.8525,Native seeded species,C4 grass
133,SATR,seed pellet,pit,0.5051,12.6275,Weedy/non-native species,non-native forb
134,ACHY,bare seeds,pit + biochar,0.0096,0.24,Native seeded species,C3 grass
134,SATR,bare seeds,pit + biochar,0.6072,15.18,Weedy/non-native species,non-native forb
134,SPCR,bare seeds,pit + biochar,0.0279,0.6975,Native seeded species,C4 grass
135,ATCA,not seeded,pit,0.0173,0.4325,Weedy/non-native species,shrub
135,SATR,not seeded,pit,0.2119,5.2975,Weedy/non-native species,non-native forb
136,ATCA,not seeded,pit,0.0039,0.0975,Weedy/non-native species,shrub
136,SATR,not seeded,pit,0.7465,18.6625,Weedy/non-native species,non-native forb
137,SATR,bare seeds,pit,0.0025,0.0625,Weedy/non-native species,non-native forb
138,ACHY,seed pellet,pit,0.009,0.225,Native seeded species,C3 grass
138,SATR,seed pellet,pit,0.0814,2.035,Weedy/non-native species,non-native forb
138,SPCR,seed pellet,pit,0.0189,0.4725,Native seeded species,C4 grass
139,ACHY,bare seeds,pit,0.007,0.175,Native seeded species,C3 grass
139,SATR,bare seeds,pit,0.0664,1.66,Weedy/non-native species,non-native forb
